codigo_ine,objetivo_aue,promedio_indice,n_indicadores,periodo_max
43135,3,78.4,1,2022
43135,6,41.10428846,2,2023
43136,1,91.47696366,2,2024
43136,6,47.80860876,2,2023
43137,1,65.12090494,2,2024
43137,10,27.93485637,1,2024
43137,3,52.9,1,2022
43137,6,70.46305353,2,2023
43138,1,44.84367709,2,2024
43138,10,14.7251753,1,2024
43138,3,13.7,1,2022
43138,6,51.076994205,2,2023
43139,1,45.95568971,2,2024
43139,10,50.30536078,1,2024
43139,3,48.5,1,2022
43139,6,56.807096285,2,2023
43140,1,45.333644425,2,2024
43140,10,40.85048632,1,2024
43140,3,70.3,1,2022
43140,6,59.6606157,2,2023
43141,1,83.47124084000001,2,2024
43141,10,0.0,1,2024
43141,3,0.0,1,2022
43141,6,61.50627615,1,2023
43142,1,57.419984310000004,2,2024
43142,10,35.24089572,1,2024
43142,3,0.0,1,2022
43142,6,53.936729244999995,2,2023
43143,1,75.110952215,2,2024
43143,10,0.0,1,2024
43143,3,29.9,1,2022
43144,1,43.415410392333335,3,2024
43144,10,14.47636281,1,2024
43144,2,6.140052207,1,2026
43144,3,84.4,1,2022
43144,6,67.26647496499999,2,2023
43145,1,44.65791873693334,3,2024
43145,10,38.83736711,1,2024
43145,2,5.924412666,1,2026
43145,3,68.7,1,2022
43145,6,72.777612395,2,2023
43146,1,45.333644425,2,2024
43146,10,0.0,1,2024
43146,3,0.0,1,2022
43147,1,45.333644425,2,2024
43147,10,0.0,1,2024
43147,3,0.0,1,2022
43147,6,62.046981439999996,2,2023
43148,1,37.20339184066666,3,2024
43148,10,51.82085501,1,2024
43148,2,3.245942572,1,2026
43148,3,61.7,1,2022
43148,6,45.49317753,2,2023
43149,1,95.333644425,2,2024
43149,10,0.0,1,2024
43149,3,0.0,1,2022
43149,6,54.02271213,2,2023
43150,1,76.06890195,2,2024
43150,10,17.05496494,1,2024
43150,3,0.0,1,2022
43150,6,60.486803785,2,2023
43151,1,73.717570775,2,2024
43151,10,0.0,1,2024
43151,3,50.0,1,2022
43151,6,77.82426778,1,2023
43152,1,49.868354552,2,2024
43152,10,0.0,1,2024
43152,3,62.9,1,2022
43152,6,39.125700755000004,2,2023
43153,1,36.196035755333334,3,2024
43153,10,47.43270753,1,2024
43153,2,3.121098627,1,2026
43153,3,84.0,1,2022
43153,6,44.536679305,2,2023
43154,1,70.949469255,2,2024
43154,10,0.0,1,2023
43154,3,61.6,1,2022
43154,6,41.42259414,1,2023
43155,1,65.85491837500001,2,2024
43155,10,33.74802081,1,2024
43155,3,0.0,1,2022
43155,6,41.484586875,2,2023
43156,1,65.724288865,2,2024
43156,10,36.39448089,1,2024
43156,3,50.0,1,2022
43156,6,41.0564172,2,2023
43157,1,86.02162651,2,2024
43157,10,0.0,1,2024
43157,3,0.0,1,2022
43157,6,41.84100418,1,2023
43158,1,68.846956195,2,2024
43158,10,0.0,1,2024
43158,3,0.0,1,2022
43158,6,32.21757322,1,2016
43159,1,74.48268647500001,2,2024
43159,10,0.0,1,2024
43159,3,1.6,1,2022
43160,1,43.04294243666667,3,2024
43160,10,24.6324361,1,2024
43160,2,5.686074225,1,2026
43160,3,97.1,1,2022
43160,6,59.721790580000004,2,2023
43161,1,42.009358371733335,3,2024
43161,10,31.39561185,1,2024
43161,2,5.776869822,1,2026
43161,3,75.6,1,2022
43161,6,56.909926795000004,2,2023
43162,1,89.42421422000001,2,2024
43162,10,65.8674508,1,2024
43162,3,0.0,1,2022
43162,6,53.840114369999995,2,2023
43163,1,53.84322392,2,2024
43163,10,54.67088894,1,2024
43163,3,69.0,1,2022
43163,6,50.466226774999996,2,2023
43164,1,69.7302605,2,2024
43164,10,0.0,1,2024
43164,3,77.0,1,2022
43164,6,49.468072925,2,2023
43165,1,64.138073385,2,2024
43165,10,8.595340421,1,2024
43165,3,80.6,1,2022
43165,6,57.877057019999995,2,2023
43166,1,43.86345525666667,3,2024
43166,10,23.86337933,1,2024
43166,2,4.55112927,1,2026
43166,3,68.7,1,2022
43166,6,69.49592331,2,2023
43167,1,56.36872778,2,2024
43167,10,0.0,1,2024
43167,3,69.1,1,2022
43167,6,61.765969535,2,2023
43168,1,95.333644425,2,2024
43168,10,0.0,1,2024
43168,3,87.2,1,2022
43168,6,65.69037657,1,2023
43169,1,95.333644425,2,2024
43169,10,0.0,1,2024
43169,3,28.5,1,2022
43169,6,70.696194185,2,2023
43170,1,50.353549875000006,2,2024
43170,10,40.30762271,1,2024
43170,3,0.0,1,2022
43170,6,51.409421370000004,2,2023
43171,1,36.44280590666667,3,2024
43171,10,36.5528161,1,2024
43171,2,4.233344683,1,2026
43171,3,34.3,1,2022
43171,6,60.202247875,2,2023
43172,1,63.9514598,2,2024
43172,10,42.79574757,1,2024
43172,3,0.0,1,2022
43172,6,79.91631799,1,2023
43173,1,83.91289299499999,2,2024
43173,10,0.0,1,2024
43173,3,94.1,1,2022
43173,6,49.37238494,1,2023
43174,1,95.333644425,2,2024
43174,10,0.0,1,2024
43174,3,100.0,1,2022
43174,6,62.34309623,1,2023
43175,1,51.348822330000004,2,2024
43175,10,3.166704366,1,2024
43175,3,95.6,1,2022
43175,6,62.692316500000004,2,2023
43176,1,80.155739475,2,2024
43176,10,0.0,1,2024
43176,3,0.0,1,2022
43176,6,70.59336367,2,2023
43177,1,46.988284883000006,2,2024
43177,10,0.0,1,2024
43177,3,0.0,1,2022
43177,6,32.21757322,1,2023
43178,1,37.248070643333335,3,2024
43178,10,43.38384981,1,2024
43178,2,4.596527068,1,2026
43178,3,0.0,1,2022
43178,6,56.240656105,2,2023
43901,1,63.629546285,2,2024
43901,10,25.01696449,1,2024
43901,3,18.9,1,2022
43901,6,59.273229285,2,2023
43902,1,71.73946677,2,2024
43902,10,27.980095,1,2024
43902,3,28.7,1,2022
43902,6,60.50452378,2,2023
43903,1,46.5030895605,2,2024
43903,10,6.695317801,1,2024
43903,3,0.0,1,2022
43903,6,56.22113685,2,2023
43904,1,45.825060200050004,2,2024
43904,10,19.79190228,1,2024
43904,3,0.0,1,2022
43904,6,50.902356815,2,2023
43905,1,34.709609103333335,3,2024
43905,10,66.81746211,1,2024
43905,2,2.928157984,1,2026
43905,3,37.6,1,2022
43905,6,39.965192470000005,2,2023
43906,1,52.36897659500001,2,2024
43906,10,65.3245872,1,2024
43906,3,0.0,1,2022
43906,6,53.747915855,2,2023
43907,1,33.96347081,3,2024
43907,10,97.03686949,1,2024
43907,2,3.79071615,1,2026
43907,3,0.0,1,2022
43907,6,72.002839565,2,2023
